ID,Title,Author,ISBN,"Total Copies","Available Copies","Record Status"
1239,Dactyloscopy,"Alviola Armando",9781775331261,9,9,active
1240,"Dactyloscopy Manual and Workbook","Badua Jonah",9786109410179,10,10,active
1241,"Daddy- O","Wade ""Daddy-O"" Bob",9789025176297,2,2,active
1242,"Daffadil Girls","Dimbles Kitty",9783477433267,1,1,active
1243,"Dangerous Animals","John Seidnsticker",9781901302059,1,1,active
1244,"Dangerous Drugs And Vice Control","Guevara Ricardo M.",9786981528733,10,10,active
1245,"Dangerouse Drugs and Vice Control","Ricardo M. Guevara",9789785598216,1,1,active
1246,"Daniel Martin","Flowles John",9786619128410,2,2,active
1247,"Dare To Hope","West Jason",9787309850345,1,1,active
1248,"Darkk Horse","Knebel Fletcher",9786512418939,2,2,active
1249,"Das Prinzip Verantwortung","Hans Jonas",9786908197400,2,2,active
1250,"Data Communication","Dauksa Pauline",9785643502388,4,4,active
1251,"Data Communication and Networking","Wayne Tomasi",9780371990513,2,2,active
1252,"Data Communications and Networking","Wayne Tomasi",9789918724017,2,2,active
1253,"Data Structures and Algorithms in Computer","Oswald Joe",9787835674309,4,4,active
1254,"Data Structures and Algorithms in Java","Adam Drozdek",9780389608707,4,4,active
1255,"Database Administration in my SQL","Alexander A Hernandez",9786266821719,7,7,active
1256,"Database Concept","Kroenke David",9785535603315,8,8,active
1257,"Database Management Systems","Philip J. Pratt",9780368900303,8,8,active
1258,"Database Management: Essentials Concepts…","Gary B. Shelly",9780272405598,1,1,active
1259,"Database Processing","David M. Kroenke",9783429671112,9,9,active
1260,"Database Programming W/ Visual Basic 5","Curtis L. Smith",9788375374582,2,2,active
1261,"Database System concept","Abraham Silberschatz",9783845881058,2,2,active
1262,"Databse System the Complete Book","Hector Garcia Molina",9789741328345,7,7,active
1263,"Daughters & Mothers","Cowen Lauren",9781520377100,1,1,active
1264,"Daughters in My Kingdom",Unknown,9780449641040,2,2,active
1265,"Dave Barry is from Mars and Venues","Dave Barry",9787066703366,2,2,active
1266,"Dave Barry's History of the Millenium","Dave Barry",9786804085092,1,1,active
1267,"Day by Day with Jesus","Helen Torrey",9784930596604,2,2,active
1268,Dazzle,"Krantz Judith",9788648769985,1,1,active
1269,"Dead Even","Brad Meltzer",9782673204411,2,2,active
1270,"Dead Heat","Murray William",9788459609456,1,1,active
1271,"Dear Kilroy A Dog To Guide Us","Harrison Nora Vitz",9784901495424,2,2,active
1272,"Death Littles Helpers","Spiegelman Deaths Peter",9787070705783,2,2,active
1273,"Death on Demand","Hart Carolyn G.",9786091498513,1,1,active
1274,"Death Receptors In Cancer Therapy","EL-Diery Wafik S.",9782444723226,7,7,active
1275,"Deceptive Minds","Warren Galas Mayao",9789031028795,10,10,active
1276,"Deck Officer Study Guide","Joseph S. Murphy",9780830440580,2,2,active
1277,"Decorative Painted Wood Projects",Unknown,9789351187189,1,1,active
1278,"Defending the Homeland","Jonathan R. White",9783359561644,4,4,active
1279,"Degital Design","M. Morris Mano",9780595565740,5,5,active
1280,"Delectable Mountains","Fowler Earlene",9782504290194,1,1,active
1281,"Delicious Diabetic Recipes",Unknown,9785889536901,1,1,active
1282,"Delicious Sandwich Recipe",Unknown,9786113989869,1,1,active
1283,"Delinquency Carrer in Two Birth Coherts","Tracy Paul E.",9788097887544,1,1,active
1284,"Deliquency in Society","Regoli Robert",9789435353752,1,1,active
1285,"Delivery Room Manual for ahshe Midwifery",Unknown,9783765158810,1,1,active
1286,"Delman's Standard Textbook of Electricity","Herman Stephen L.",9787937639282,6,6,active
1287,"Design for Christian Merriage","Small Dwight Hervey",9786929445511,1,1,active
1288,"Design of Machine Elements","Virgil Moring Faires",9786682973276,4,4,active
1289,"Designing a Web Page using HTML","Evangeline Madrid-Airata",9782164871207,4,4,active
1290,"Designing Arcade Comp. Game Graphics","Ari Feldman",9780212886654,2,2,active
1291,"Designing Schools for Meaningful Professional..","Bradly Janice",9786834155994,1,1,active
1292,"Designing the User Interface Strategies for Effective ..","Shneiderman Ben",9781015767645,8,8,active
1293,Desserts,"Ting Morris",9782298120998,2,2,active
1294,Desserts,Unknown,9787657289415,6,6,active
1295,"Desserts of Vitality; Extra Ordinary","Foy Mark",9784750988986,1,1,active
1296,"Destingtion Management and Marketing","Jefferson S. Marcelo",9784565220363,2,2,active
1297,"Developing Competencies In Research","Garcia Carlito D.",9784995154214,8,8,active
1298,"Developing Competencies in Research Writing","Maura B. Fonollera",9784773244915,2,2,active
1299,"Developing Correctional Administrators","Elmer K. Nelson jr.",9784213882097,1,1,active
1300,"Developing Reading Power 4","Corcodia C. Logue",9788830705340,4,4,active
1301,"Developing Skills In Grammar & Composition I","Ramos Carmen M.",9787827411769,2,2,active
1302,"Developing Skills in Speech","Sandra R. Arroyo",9784124151312,7,7,active
1303,"Development in Industrial Microbiology","Claude Nash",9782854781502,2,2,active
1304,"Developmental Reading","Alejandro S. Bernardo",9781853800320,2,2,active
1305,"Developmental Reading",Unknown,9783347272743,2,2,active
1306,"Developmental Reading 1","Bernardo Alejandro S.",9783183061785,5,5,active
1307,"Developmental Reading 1","Anonat Rosa D.",9782064969356,1,1,active
1308,"Developmental Reading 2","Flordeliza C. Buendicho",9788243477698,7,7,active
1309,"Developmental Skills In Speech","Sandra R. Arroyo",9788741314679,6,6,active
1310,"Device And Desires","P.D. James",9783612751560,2,2,active
1311,Dewey,"Myron Vicki",9787796304482,1,1,active
1312,"Diagnotics Microbiology","Sydney M. FineGold",9786085456673,5,5,active
1313,Dialogue,"Marcelino A. Foronda",9786404735045,2,2,active
1314,"Dianne Feinstein","Roberts Jerry",9786392831996,2,2,active
1315,"Diary of a Player","Brad Paisley",9782980061554,2,2,active
1316,"Dictionary of Prisons and Punishment","Yuonne Jewkes",9788108358322,10,10,active
1317,"Dictionary of Tariff & Customs Terms","Jesus G. Lionando",9788634255638,10,10,active
1318,"Differential and Integral Calculus","Clyde E. Love",9783000818677,8,8,active
1319,"Differential Calculus","Sagales Ederlina A.",9782440330411,4,4,active
1320,"Differential Calculus","Dennis B. Roble",9786624111865,10,10,active
1321,"Differential Calculus Reviewer","Ricardo C. Asin",9780892196395,4,4,active
1322,"Differetial Calculus","Amalia Del Rosarion Batongbakal",9785680447314,2,2,active
1323,"Digest of the Reports of the Supreme Court…","Edmond Block",9789764613688,6,6,active
1324,"Digest of the Reports of the Supreme Court…","H. Lawrence Noble",9787488360765,6,6,active
1325,"Digest of the Reports of the Supreme Court…","William S. Anderson",9788173906374,6,6,active
1326,"Digest of the Reports of the Supreme Court…","James M. Henderrson",9787914521180,6,6,active
1327,"Digital and Analog Communication","3G E Learning",9783793126973,5,5,active
1328,"Digital and Analog Communication System","Couch Leon",9789307464524,8,8,active
1329,"Digital Communication Systems","Haykin Simon",9785996043873,4,4,active
1330,"Digital Design","M. Morris Mano",9785357788115,2,2,active
1331,"Digital Electronics Fundamentals",Unknown,9781620281239,7,7,active
1332,"Digital Electronics Fundamentals","3G E- Learning",9781067287283,7,7,active
1333,"Digital Fundamentals","Floyd thomas L.",9786041644854,7,7,active
1334,"Digital Image Processing","3G E Learning",9785922483957,8,8,active
1335,"Digital Presentation","Emily Trajano",9789477352287,8,8,active
1336,"Digital Signal Processing Principles…","John G. Proakis",9787056227100,9,9,active
1337,"Digital Speech Technology Process","Hintz Marcus",9783318751093,6,6,active
1338,"Digital Techniques",Unknown,9789215835034,2,2,active
1339,"Dinosour The Evolution of an Animated","Kurtti Jeff",9784694596483,2,2,active
1340,"Disability Studies and the Inclusive Classroom","Baglieri Susan",9781921342493,1,1,active
1341,"Disappering Acts","Riley Kelly Ann",9782896599943,1,1,active
1342,"Disaster And Risk Reduction Managment","Adonis A. Mogol",9789732033197,10,10,active
1343,"Disaster Preparedness","Havrilesky Heather",9782270510281,1,1,active
1344,"Disaster Readiness And Risk Reduction","Maylene B. Pakingan",9787675481389,10,10,active
1345,"Disaster Readiness Risk & Reduction","Quebnal Villamor S.",9786675485816,7,7,active
1346,"Discipline & Ideas in the Applied Social ...","Ariola Mariano M.",9783242687741,8,8,active
1347,"Discipline & Ideas in the Social Science","Llenas Milrose P.",9781865205755,9,9,active
1348,"Disconnecting Parties","W. Brooke Tunstall",9783983652039,2,2,active
1349,"Discourse Analysis",Routledge,9785830945158,7,7,active
1350,"Discovering Tuba","Pacho Arturo G.",9788094047606,6,6,active
1351,"Discrete Mathematics","Jonathon b. Cabero",9784409079775,9,9,active
1352,"Discrete Mathematics","Epp Susanna S.",9787810509220,5,5,active
1353,"Discrete Mathematics & Its Applications","Kennth H. Rosen",9782161070511,10,10,active
1354,"Discrete Mathematics and Its Applications",Unknown,9788439055297,10,10,active
1355,Disobedience,"Hamilton Jane",9788066013820,2,2,active
1356,Displaced,"Rodriguez Aneka",9781270493860,2,2,active
1357,"Dispute Resolution & Crisis/Incident","Gerry J. Cano",9780448515793,5,5,active
1358,"Dispute Resolution & Incident Management","Charesma Grace Killip-Lud-ayen",9781971112121,10,10,active
1359,"Dispute Resolution and Crisis Management","Christian G. Domingo",9789020357134,6,6,active
1360,"Dispute Resolution and Crisis Management","Danilo Tancangco",9783240642421,6,6,active
1361,"Dispute Resolution and Crisis/ Incident Management","Mario A. Garcia",9785633432442,8,8,active
1362,"Dispute Resolution and Incident Management","Charesma Grace Kilip",9787417595589,9,9,active
1363,"Distributiopm Management","Marife Acierto",9782096289361,7,7,active
1364,"Divided They Fell","Radosh Ronald",9784358841836,2,2,active
1365,"Divorce Sucks","Eustace Mary Jo",9783740182724,2,2,active
1366,"Doctrine & Covenants and Church History",Unknown,9789559690511,7,7,active
1367,"Dog Treat Recipes",Unknown,9780267551255,2,2,active
1368,"Doing Ethics: Introduction to Moral Philosophy","Lloyd Marvin Combes",9782782079795,6,6,active
1369,"Domesday Book","Wintonia Liber De",9786734595760,2,2,active
1370,"Domestic Tourism","Carlos M. Libosada",9780381664961,6,6,active
1371,"Donald G. Bloesch A Research Bibliograpghy","Maher Paul E.",9782824983929,1,1,active
1372,"Donkey Cons","Vincent Lynn",9785014257626,1,1,active
1373,"Don’t bet Against me!","Favre Deanna",9780232441239,2,2,active
1374,"Don’t Do Delegate","James M. Jenks",9786132850720,1,1,active
1375,"Don’t Fill Up On The Antipasto",Tory,9781786376732,2,2,active
1376,"Don’t Make Me Stop This Car!","Al Roker",9786252654697,1,1,active
1377,"Don’t Stop Me Now","Clarkson Jeremy",9788157903924,2,2,active
1378,"DOS 5 Made Easy","Herbert Schildt",9783555809960,10,10,active
1379,"Doucle Take","Kevin Michael Connolly",9783273034613,1,1,active
1380,"Downsizing for Client/ Server Applications","Paul Kavanagh",9786262446701,2,2,active
1381,Downtown,"Anne Rivers Siddons",9786226817158,2,2,active
1382,"Dr. Jose Rizal Life works and Writings","Michael C. Pangilinan",9781602529861,9,9,active
1383,"Dr. Prem's Guide Madical Tourism","Jagyasi Prem",9780766046412,2,2,active
1384,Drafting,"German M. Manaois",9787857585126,8,8,active
1385,"Drama In The Sixties","Kitchin Laurence",9788612059432,2,2,active
1386,"Drills and Exercises for Intensive English","Marshall Felix L. Josue",9789760740173,8,8,active
1387,"Drug Abuse, Crime and Home","Harry C. Lorenzo",9785095465408,7,7,active
1388,"Drug Education and Vice Control","Dascil Canete Arlyn M.",9782456075405,2,2,active
1389,"Drug Use and Abuse","Bonnie Graves",9785086321812,1,1,active
1390,"Druge Manifesto","Matt Drudge",9782764579381,1,1,active
1391,"Dynamic Earth","Christiansen Eric H.",9787015502910,8,8,active
1392,"Dynamics of Law Enforcement & Public ..","Rommel K. Manwong",9788154660240,7,7,active
1393,"Dynamics of Law Enforcement and Public..","Manwong Rommel R.",9781613944981,9,9,active
1394,"Dynamics of Law Enforcement& Public safety","Rommel K. Manwong",9780597364242,1,1,active
1395,"E-way to Better Communication","Condordia Mendoza",9780962440632,8,8,active
1396,"E. Marketing","Leonardo R. Garcia Jr.",9786244795131,1,1,active
1397,"Early Literacy Instruction and Interventio Third Edition","Donna M. Scanlon",9780531949795,5,5,active
1398,"Earth Science","Tarbuck Lutgens Tasa",9789586780551,7,7,active
1399,"Earth Science","Desamero Cardina Ditan",9785727738269,6,6,active
1400,"Earth Science","Priscilla Signey L.",9786091785132,2,2,active
1401,"East Enders The First 10 Years","Brake Colin",9784457702991,2,2,active
1402,"Easter Recipes",Unknown,9789596604878,1,1,active
1403,"Easter Rising","Patrick Michael",9786826911638,1,1,active
1404,"Easy and Practical Pediatric Neurology","Rhandy Pebenito",9781942268659,5,5,active
1405,"Easy Linguistics","Renalyn B. Banatawig",9783694551584,10,10,active
1406,"Easy Windows 95","Sve Blumley",9788636774724,8,8,active
1407,"Eat Drink and Be Merry","Edell Dean",9786408572165,1,1,active
1408,"Eat Land","Critser Greg",9786630932997,2,2,active
1409,"Eat! The Quick-Look Cook Book","Scolik Gabriela",9781996059326,8,8,active
1410,"ECE Review Questions",Unknown,9781509688326,2,2,active
1411,"ECHO PARK","Michael Connelly",9785327352414,2,2,active
1412,Eclipse,"Meyer Stephene",9783977397328,1,1,active
1413,"Econo Meals",Unknown,9788195237104,2,2,active
1414,"Economic Crimes","Gilbert C. San Diego",9780687616480,9,9,active
1415,"Economic Development in the third World","Michael Todaro",9789807704601,4,4,active
1416,"Economic IN","Gadwin Ruiz Nardo",9786876112498,2,2,active
1417,Economics,"Sicat Gerardo P.",9781256523734,10,10,active
1418,"Economics Concepts","Robert C. Bingham",9781517734541,6,6,active
1419,"Economics Land Reform and Taxation","Ma. Perpetua Arcilla Serapio",9787574949027,9,9,active
1420,"Economics of Crime","Neil O. Alfer",9788403595446,5,5,active
1421,"Economics: Taxation, and Agrarian Reform","Manapat Carlos L.",9782947742229,9,9,active
1422,Ecotourism,"Cruz Reil G.",9784643039429,8,8,active
1423,"Ecotourism with Tourism Planning and Development","Romeo D. Lim",9780458867929,8,8,active
1424,"Educaional Psychology","William A. Kelly",9782985856728,2,2,active
1425,"Education Technology 1","Gatmaitan Borjal Wilhelmina",9788727601533,10,10,active
1426,"Education Technology 2","Gatmaitan Borjal Wilhelmina",9783324913577,6,6,active
1427,"Educational Administration","Gaudencio V. Aquino",9789083350615,2,2,active
1428,"Educational Administration Theory, Concepts..","Carson Charlie",9788148881071,6,6,active
1429,"Educational Eavaluation and Measurement","Roberto N. Padua",9788334233721,8,8,active
1430,"Educational Field Study","Ma. Christina A. Heriales",9789484131288,1,1,active
1431,"Educational Psychology","Anselmo D. Lupdag",9780333997710,6,6,active
1432,"Educational Research Measurement & Evaluation","Calmorin Laurentina",9785137171731,1,1,active
1433,"Educational Technology",Elomar,9788939749092,4,4,active
1434,"Educational Technology 1","Corpuz Brenda B.",9781739970468,2,2,active
1435,"Educational Technology 1","Wilhelmina Gatmaitan B.",9784725878441,8,8,active
1436,"Educational Technology 1","Tabbada Epifania V.",9788354884712,6,6,active
1437,"Educational Technology 2","Paz I. Lucido",9782705877224,10,10,active
1438,"Educational Technology 2","Wilhelmina Gatmaitan B.",9786417582315,4,4,active
1439,"Educational Technology 2","Vinoya Armando S.",9783348458719,10,10,active
1440,"Educational Technology 2","Vindollo Shiela C.",9789392523625,2,2,active
1441,"Educational Technology Handbook","Dahl Jovan",9782925879640,10,10,active
1442,"Effect Lake","Cohen Rich",9784745245551,1,1,active
1443,"Effective Business Correspondence","Honesto F. Farol",9784696606067,7,7,active
1444,"Effective College Composition Writing","Darwin D. Bargo",9782740334454,6,6,active
1445,"Effective Communication","Purificacion T. Reyes",9785665883397,1,1,active
1446,"Effective English Communications for SHS","Dr. Emelita Santiago- Custodio",9787411325793,8,8,active
1447,"Effective English for Everyday Use","Luz C. Bucu",9780673499608,7,7,active
1448,"Effective Speaking","Carpio Rustical C.",9780548574171,1,1,active
1449,"Effective Speech & Oral Communication","Fe O. Aquino",9781562294939,1,1,active
1450,"Effective Study and Thinking Skills","Belen / Biray",9787359848842,1,1,active
1451,"Effective Techniques in Criminal Investigation","Garcia Mario",9780215573254,9,9,active
1452,"Effective Writing",Unknown,9783755344902,7,7,active
1453,"Eggie's House","Judy Blume",9781666708080,1,1,active
1454,"Eight Weeks To Optimum Health","Weil Andrew",9780960858743,2,2,active
1455,"El Felebusterismo ni Dr, jose Riza","Buenaventura S. Medina",9785119181826,8,8,active
1456,"El Filibusterismo","Jose Rizal",9788197931642,10,10,active
1457,"El Filibusterismo for Younf Readers","T.A Dreana",9787251295782,2,2,active
1458,"El Filibusterismo for Young Readers","T.A D'Reana",9786069409602,10,10,active
1459,"El Filibusterismo ni Jose Rizal","Effren R. Abueg",9783562439587,4,4,active
1460,"Elcetric Machinery","Fitzgerald, A.E.",9783959232340,7,7,active
1461,"Elctrical Engineerinf Drawing","3G E Learning",9781089028512,5,5,active
1462,Eldest,"Christopher Paolini",9785333426437,2,2,active
1463,"Electical Course for Apprentices & Joureymen","Paul Rosenberg",9785027160739,5,5,active
1464,"Electornic Device And Circuits",Unknown,9780776336916,2,2,active
1465,"Electric Circuit Analysis","David E. Johnson",9782898123177,1,1,active
1466,"Electric Circuit Analysis","Johny C. Tan",9789556331851,9,9,active
1467,"Electric circuit Analytic","Johny C. Tan",9784817006660,2,2,active
1468,"Electric Living The Science Behind The Law of…","Crutcher Kolie",9785541643169,1,1,active
1469,"Electric Motor Control","Herman Stephen L.",9780450232909,7,7,active
1470,"Electrical & Electronics Engineering","Inoue Haruto",9788227009341,5,5,active
1471,"Electrical Circuits","Charles S. Siskind",9789626228227,2,2,active
1472,"Electrical Control for Machines","Lobsiger Diene",9781207346542,6,6,active
1473,"Electrical Grounding Bonding","Simmons Phil.",9785005070265,8,8,active
1474,"Electrical Installating & Maintenace: Intermediate","3G E Learning",9788698221051,4,4,active
1475,"Electrical Machines","3G E- Learning",9781611776874,5,5,active
1476,"Electrical Machines Direct & Alternating Current","Charles S. Siskind",9789047742586,5,5,active
1477,"Electrical Machines Reviewer","Ricardo V. Correa",9789177932383,2,2,active
1478,"Electrical Motor Controls For Entegrated Systen","Rockis Gary",9782311649130,5,5,active
1479,"Electrical Safety","3G E Learning",9784245798892,1,1,active
1480,"Electrical System Design","3G E Learning",9782565290607,6,6,active
1481,"Electrical System Design","Giridharan M.K",9782020326506,1,1,active
1482,"Electrical Systems for Facilitaties Management","3G E- Learning",9787753967378,8,8,active
1483,"Electrical Wiring Industrial","Herman Stephen L.",9784871485524,8,8,active
1484,"Electrical, Electronic and Control Engineering","Hopper Dewayne",9785787158410,6,6,active
1485,Electricity,"Chong Fook Choy",9785608213717,10,10,active
1486,Electricity,"Richard J. Fowler",9788425476815,4,4,active
1487,"Electricity AC/Dc Motors,Controls & Maintenance","Keljik Jeff",9788268323031,10,10,active
1488,"Electricity for Refrigaration, Heating & ….","Smith Rusself E.",9788929880859,2,2,active
1489,"Electricity Power Generation and Delivery","Keljik Jeff",9783825212933,8,8,active
1490,"Electrochemical Science and Technology",Unknown,9788963406466,1,1,active
1491,"Electrochemical Science and Technology of Copper",Unknown,9786775240148,8,8,active
1492,"Electromagnetic Field Theory and Transmission Lines","Rao Gottapu",9783991062271,2,2,active
1493,"Electromagnetic Theory","3G E Learning",9783626693351,1,1,active
1494,"Electromagnetic Theory","Heavisede Oliver",9783426192375,4,4,active
1495,"Electronic and Radio Engineering","Frederick Emmons Terman",9784501848194,1,1,active
1496,"Electronic Communication","Robert L. Shrader",9783741897214,7,7,active
1497,"Electronic Device and Circuit Theory","Boylestad Robert L.",9784064176925,2,2,active
1498,"Electronic Devices and Circuit","Theodore F. Bogart",9787438119955,9,9,active
1499,"Electronic Devie and Circuit Theory","Boylestad Robert",9787660144480,5,5,active
1500,"Electronic Navigation I","Lauro S. Torrechilla",9786451017392,2,2,active
1501,"Electronic Presentation Applications",Unknown,9783964178992,7,7,active
1502,"Electronic Products Assembly & Serving","3G E Learning",9789860919196,7,7,active
1503,"Electronics An Introduction","Earl D. Gates",9781359966056,4,4,active
1504,"Electronics and Electrical Measurements and..","3G E- Learning",9787798066036,9,9,active
1505,"Electronics Made Easy","Lothar Stern",9780514607452,1,1,active
1506,"Electronics technology Module","Marcelo E. Tan",9785534705744,10,10,active
1507,"Electrophysical agents in Physiotheraphy","Hilary Wordsworth",9783885652717,1,1,active
1508,"Electrotheraphy and Actimotheraphy","Pauline Scott",9785983541160,2,2,active
1509,"Elememts of Business Finance","Gredorio S. Miranda",9789726347552,6,6,active
1510,"Elementary Account","Solita A. Frias",9787522501390,10,10,active
1511,"Elementary Accounting","Solita Frias",9788848826914,6,6,active
1512,"Elementary Differential Equation","Lyman M. Kells",9781196425853,5,5,active
1513,"Elementary Differential Equation","Earl D. Rainville",9782614991530,7,7,active
1514,"Elementary Differential Equations","William R. Derrick",9780382407338,7,7,active
1515,"Elementary Differential Equations","Earl D. Rainville",9783732043095,5,5,active
1516,"Elementary Steam Power Engineering","Edgar Mac Naughton",9787688936289,7,7,active
1517,"Elements and Power System Analysis","William D.",9786964546556,8,8,active
1518,"Elements of Busines and Technical…","De Belen Rustico T.",9785851253898,5,5,active
1519,"Elements of Business Finance","Gregorio s. Miranda",9781878519351,5,5,active
1520,"Elements of Criminalistics","Lorenzo A. Sunico",9787490797795,1,1,active
1521,"Elements of Finance","Mariano Norma Dy- Lopez",9781208780574,7,7,active
1522,"Elements of Marketing","Ruby F. Alminar-Mutya",9781514940976,1,1,active
1523,"Elements Of Trigonometry, Plane and Spherical","Dodd James B.",9782637484538,7,7,active
1524,"Embracing the Teaching Profession","Antonio L. Tamayo",9788628950907,8,7,active
1525,"Emburey Biography","John Emburey",9789119186232,2,2,active
1526,"Emerald Enigma","West Wick CJ",9789220715116,1,1,active
1527,"Emerging Patterns of Educational Technology","Hill Jorell",9789666725212,7,7,active
1528,"Emgineering Thermodynamics","James Harbach",9785264712463,2,2,active
1529,"Employee Training & Development","Raymond A. Noe",9783515718400,1,1,active
1530,"Employee Training and Development","Raymond A. Noe",9780805120806,8,8,active
1531,"Empowering Change Through Social Entrepreneurship","Anqelita Oug Camelar-Sermano",9785640995121,1,1,active
1532,"Empowerment Technologies (Book 1)","Tamayo Jason D.",9789728351298,5,5,active
1533,"Empowerment Technologies (Book 2)","Tamayo Jason D.",9789272827096,6,6,active
1534,"Encountiring Christ: New Testament","Rina Ramos Concepcion",9788144152984,1,1,active
1535,"Encyclopaedic Dictionary of Information Tech.","Roger Drake",9781739295783,5,5,active
1536,"Encyclopedia Britannica",Unknown,9787181535231,2,2,active
1537,"Encyclopedia Entomology","Veerender Utpal",9787360507912,10,10,active
1538,"Encyclopedia International",Unknown,9788158998868,10,10,active
1539,"Encyclopedia of Astronomy and Space Science","Anandi Bhardwaj",9788345273464,10,10,active
1540,"Encyclopedia of Biochemistry","Bethany J. Mathews",9786617071589,7,7,active
1541,"Encyclopedia of Biology","Satyavir Singh",9789647408035,7,7,active
1542,"Encyclopedia of Biotechnology","Bethany J. Mathews",9784998250807,4,4,active
1543,"Encyclopedia of Body","John Farndon",9784635806886,1,1,active
1544,"Encyclopedia of Botany","Satyavir Singh",9782850317231,10,10,active
1545,"Encyclopedia of Chemical Engineering","Manish sharma",9785137399005,9,9,active
1546,"Encyclopedia of Environmental Ecology","Sanjoy Chatterjee",9783140352635,7,7,active
1547,"Encyclopedia of fish and fisheries","Vishal Anand",9786022939467,6,6,active
1548,"Encyclopedia of Genetics","Bethany J. Mathews",9789434606668,9,9,active
1549,"Encyclopedia of History","Philip Steele",9783749060726,2,2,active
1550,"Encyclopedia of Horticulture","A. Edwards",9783111271286,9,9,active
1551,"Encyclopedia of job-winning resumes","Myrna Fournier",9782464844949,2,2,active
1552,"Encyclopedia of Networking","Wener Feibel",9781631873287,4,4,active
1553,"Encyclopedia of Paleotology","Vivek Sharma",9787711306218,4,4,active
1554,"Encyclopedia of Physics","Anandi Bhardwaj",9781369572797,10,10,active
1555,"Encyclopedia of Plant Physiology","Satyavir Singh",9780833509024,10,10,active
1556,"Encyclopedia of Political Science","N. Dutta",9784257306627,6,6,active
1557,"Encyclopedia of South East and Far East Asia","P.C. Sinha",9788132357070,6,6,active
1558,"Encycopedia of Biotechnology","Bethany J. Mathews",9783984822851,4,4,active
1559,"Encylopedia International",Unknown,9781168809254,1,1,active
1560,"Ending the Food Fight","Ludwig David S.",9780213060909,2,2,active
1561,"Engaging Primamry Children in Mathematics","Sangster Margaret",9786913098105,10,10,active
1562,"Engineering Circuit Analysis","Hayt Willaim H.",9787964967372,9,9,active
1563,"Engineering Design","3G E- Learning",9784577278536,8,8,active
1564,"Engineering Economy","Sta. Maria Hipolito B.",9784264250647,5,5,active
1565,"Engineering Economy","Blank Leland",9780768362534,1,1,active
1566,"Engineering Economy","Sunivan William G.",9786677767552,2,2,active
1567,"Engineering Electromagnetics","William Hayt Jr.",9786283333936,6,6,active
1568,"Engineering Electromagnets","William H. Hayt Jr.",9789578654365,10,10,active
1569,"Engineering Electronics","George E. Happell",9787187496031,5,5,active
1570,"Engineering Graphics Communication","Gary Bertoline",9785826862704,5,5,active
1571,"Engineering Material and Process","Donald Clark",9786924926930,1,1,active
1572,"Engineering Materials & Processes","Donald S. Clark",9786573275991,5,5,active
1573,"Engineering Materials and Process","Donald Sherman Clark",9780111000519,8,8,active
1574,"Engineering Materials and Processes","Donald S. Clark",9785323415953,6,6,active
1575,"Engineering Mathematics","Bird Jhon",9787524418221,2,2,active
1576,"Engineering Mathematics","Bayon Roy Anthony",9786189628877,5,5,active
1577,"Engineering Mathematics Reviewer","Ruben A De La Fuente",9784312710260,9,9,active
1578,"Engineering Mechanics","Ferdinand L. Singer",9786720957992,7,7,active
1579,"Engineering Mechanics Dynamics","R.C Hibbeler",9787079551510,5,5,active
1580,"Engineering Mechanics Dynamics","Pytel Andrew",9782946213546,5,5,active
1581,"Engineering Mechanics Statics","Hibbeler R.C",9781597099622,9,9,active
1582,"Engineering Statistics","3G E Learning",9784384807523,6,6,active
1583,"Engineering Thermodynamics","James Harbach",9783447650472,4,4,active
1584,"Engineering Thermodynamics","3G E Learning",9781580290906,9,9,active
1585,"English 1","Siantiago F. Benlot",9786376604653,2,2,active
1586,"English 1 : Introduction","Esther L. Baraceros",9788665254839,2,2,active
1587,"English 1 : Introduction to college English","Esther L. Baraceros",9784417158103,7,7,active
1588,"English 1 : Reading and Thinking skill for Academic.","Esther L. Baraceros",9782131251292,10,10,active
1589,"English 2 : Reading and Thinking Skills for Academic Study","Esther L. Baraceros",9783110059120,10,10,active
1590,"English 21","San Carlos",9787519102319,8,8,active
1591,"English 3 : English for Academic Writing","Esther L. Baraceros",9781106330161,5,5,active
1592,"English 4 : Oral Communication in context","Esther L. Baraceros",9788373792746,6,6,active
1593,"English 41",Unknown,9787280123421,1,1,active
1594,"English 4: Philippine Literature …","Letiscia H. Carandang",9789311325323,8,8,active
1595,"English Communication 2",Unknown,9789496843643,2,2,active
1596,"English Communication 2","Cristina T. Danao",9783804421011,2,2,active
1597,"English Communication Arts and Skills Through…","Josephine B. Serrano",9785096170158,7,7,active
1598,"English Country Church","Curtis John",9789194575754,2,2,active
1599,"English for Academic and Professional Purpose","Menoy Jesus L.",9784758339209,7,7,active
1600,"English for Academic Purpose",Unknown,9786775677722,2,2,active
1601,"English for Academic Purposes","Mildred B. Go",9786602562658,5,5,active
1602,"English for Academic Writing","Shafie Latisha Asmaak",9786229231067,4,4,active
1603,"English For Business","Maria M Stewart",9782453076245,7,7,active
1604,"English for Business",Unknown,9783379766272,2,2,active
1605,"English for Business 2",Unknown,9785115794235,1,1,active
1606,"English for Business : Developing Communication","Perlita P. Romero",9783670425496,2,2,active
1607,"English for Business: Developing Communication",Unknown,9789192845521,2,2,active
1608,"English For College Learners","Fe O. Aquino",9789710756339,2,2,active
1609,"English for Hotel Restaurant and…","Tendero Edwin V.",9783574859533,6,6,active
